DA_CAN_RESTR_FLAG,DA_CAN_RESTR_KEY,DA_CAN_RESTR_REMARK,DA_CAN_RESTR_TYPE,DA_FREE_RESTR_FLAG,DA_FREE_RESTR_KEY,DA_FREE_RESTR_REMARK,PARENT_STATUS_NUMBER,RESTRICTION_TYPE
,,,,F,06,PENETRATION POINT LOCATION,0879242,FREE_FORM
,,,,F,07,LEASE LINES:     001382.00 FEAST         L,0879242,FREE_FORM
,,,,F,08,000031.00 FSOUTH        L,0879242,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0879242,FREE_FORM
,,,,F,10,BH COUNTY: 003,0879242,FREE_FORM
,,,,F,11,SECTION: 26      BLOCK: 42 T1N    ABSTRACT: 200,0879242,FREE_FORM
,,,,F,12,SURVEY NAME:     G&MMB&A,0879242,FREE_FORM
,,,,F,13,LEASE LINES:     001294.00 FEAST         L,0879242,FREE_FORM
,,,,F,14,000031.00 FSOUTH        L,0879242,FREE_FORM
,,,,F,15,SURVEY LINES:    001294.00 FEAST         L,0879242,FREE_FORM
,,,,F,16,001351.00 FSOUTH        L,0879242,FREE_FORM
,02,,01,,,,0879252,CANNED
,,,,F,01,AN APPROVAL FOR DOUBLE ASSIGNMENT OF SURFACE ACREAGE HAS BEEN GRANTED,0879252,FREE_FORM
,,,,F,02,FOR THIS FIELD PURSUANT TO SWR 40(E)(2). YOU ARE REQUIRED TO ATTACH TH,0879252,FREE_FORM
,,,,F,03,E APPROVED R40 LETTER TO THE COMPLETION PACKET. THE APPROVED R40 LETTE,0879252,FREE_FORM
,,,,F,04,R MAY BE FOUND IN THE ATTACHMENTS SECTION OF THIS W-1.,0879252,FREE_FORM
,,,,F,05,LATERAL # TH1,0879252,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0879252,FREE_FORM
,,,,F,07,LEASE LINES:     001328.00 FEAST         L,0879252,FREE_FORM
,,,,F,08,000095.00 FSOUTH        L,0879252,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0879252,FREE_FORM
,,,,F,10,BH COUNTY: 003,0879252,FREE_FORM
,,,,F,11,SECTION: 26      BLOCK: 42 T1N    ABSTRACT: 200,0879252,FREE_FORM
,,,,F,12,SURVEY NAME:     G&MMB&A,0879252,FREE_FORM
,,,,F,13,LEASE LINES:     001324.00 FEAST         L,0879252,FREE_FORM
,,,,F,14,000095.00 FSOUTH        L,0879252,FREE_FORM
,,,,F,15,SURVEY LINES:    001324.00 FEAST         L,0879252,FREE_FORM
,,,,F,16,001415.00 FSOUTH        L,0879252,FREE_FORM
,02,,01,,,,0907465,CANNED
,,,,F,01,LATERAL # TH1,0907465,FREE_FORM
,,,,F,02,PENETRATION POINT LOCATION,0907465,FREE_FORM
,,,,F,03,LEASE LINES:     000800.00 FEAST         L,0907465,FREE_FORM
,,,,F,04,000100.00 FNORTH        L,0907465,FREE_FORM
,,,,F,05,TERMINUS LOCATION,0907465,FREE_FORM
,,,,F,06,BH COUNTY: 003,0907465,FREE_FORM
,,,,F,07,SECTION: 28      BLOCK: 9         ABSTRACT:,0907465,FREE_FORM
,,,,F,08,SURVEY NAME:     UL/A-U264,0907465,FREE_FORM
,,,,F,09,LEASE LINES:     000660.00 FWEST         L,0907465,FREE_FORM
,,,,F,10,000020.00 FNORTH        L,0907465,FREE_FORM
,,,,F,11,SURVEY LINES:    001980.00 FEAST         L,0907465,FREE_FORM
,,,,F,12,000020.00 FNORTH        L,0907465,FREE_FORM
,02,,01,,,,0908441,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908441,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908441,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908441,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908441,FREE_FORM
,,,,F,05,LATERAL # TH1,0908441,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908441,FREE_FORM
,,,,F,07,LEASE LINES:     011105.00 FSOUTH        L,0908441,FREE_FORM
,,,,F,08,017229.00 FEAST         L,0908441,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908441,FREE_FORM
,,,,F,10,BH COUNTY: 003,0908441,FREE_FORM
,,,,F,11,SECTION: 4       BLOCK: 40 T2N    ABSTRACT: 765,0908441,FREE_FORM
,,,,F,12,"SURVEY NAME:     T&P RR CO/LEE, R D",0908441,FREE_FORM
,,,,F,13,LEASE LINES:     000100.00 FSOUTH        L,0908441,FREE_FORM
,,,,F,14,000660.00 FEAST         L,0908441,FREE_FORM
,,,,F,15,SURVEY LINES:    000100.00 FSOUTH        L,0908441,FREE_FORM
,,,,F,16,000660.00 FEAST         L,0908441,FREE_FORM
,02,,01,,,,0908442,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908442,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908442,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908442,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908442,FREE_FORM
,,,,F,05,LATERAL # TH1,0908442,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908442,FREE_FORM
,,,,F,07,LEASE LINES:     011105.00 FSOUTH        L,0908442,FREE_FORM
,,,,F,08,017262.00 FEAST         L,0908442,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908442,FREE_FORM
,,,,F,10,BH COUNTY: 003,0908442,FREE_FORM
,,,,F,11,SECTION: 4       BLOCK: 40 T2N    ABSTRACT: 765,0908442,FREE_FORM
,,,,F,12,"SURVEY NAME:     T&P RR CO/LEE, R D",0908442,FREE_FORM
,,,,F,13,LEASE LINES:     000100.00 FSOUTH        L,0908442,FREE_FORM
,,,,F,14,001980.00 FEAST         L,0908442,FREE_FORM
,,,,F,15,SURVEY LINES:    000100.00 FSOUTH        L,0908442,FREE_FORM
,,,,F,16,001980.00 FEAST         L,0908442,FREE_FORM
,02,,01,,,,0908424,CANNED
,03,,02,,,,0908424,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908424,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908424,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908424,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908424,FREE_FORM
,,,,F,05,BOTTOM HOLE # BH1,0908424,FREE_FORM
,,,,F,06,BH COUNTY: 003,0908424,FREE_FORM
,,,,F,07,SECTION: 14      BLOCK: A47       ABSTRACT: 1996,0908424,FREE_FORM
,,,,F,08,"SURVEY NAME:     PSL / MUNGER, L S & NIX, E C",0908424,FREE_FORM
,,,,F,09,LEASE LINES:     000790.00 FNORTH        L,0908424,FREE_FORM
,,,,F,10,001036.00 FWEST         L,0908424,FREE_FORM
,,,,F,11,SURVEY LINES:    000284.00 FEAST         L,0908424,FREE_FORM
,,,,F,12,001856.00 FSOUTH        L,0908424,FREE_FORM
,02,,01,,,,0908319,CANNED
,03,,06,,,,0908319,CANNED
,04,,02,,,,0908319,CANNED
,05,,02,,,,0908319,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908319,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908319,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908319,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908319,FREE_FORM
,,,,F,05,LATERAL # TH1,0908319,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908319,FREE_FORM
,,,,F,07,LEASE LINES:     000050.00 FS            L,0908319,FREE_FORM
,,,,F,08,000330.00 FW            L,0908319,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908319,FREE_FORM
,,,,F,10,BH COUNTY: 003,0908319,FREE_FORM
,,,,F,11,SECTION: 21      BLOCK: 10        ABSTRACT:,0908319,FREE_FORM
,,,,F,12,SURVEY NAME:     UNIVERSITY LANDS/U305,0908319,FREE_FORM
,,,,F,13,LEASE LINES:     000330.00 FW            L,0908319,FREE_FORM
,,,,F,14,000040.00 FN            L,0908319,FREE_FORM
,,,,F,15,SURVEY LINES:    000330.00 FW            L,0908319,FREE_FORM
,,,,F,16,000040.00 FN            L,0908319,FREE_FORM
,,,,F,17,LATERAL # TH1,0908319,FREE_FORM
,,,,F,18,PENETRATION POINT LOCATION,0908319,FREE_FORM
,,,,F,19,LEASE LINES:     000050.00 FS            L,0908319,FREE_FORM
,,,,F,20,000330.00 FW            L,0908319,FREE_FORM
,,,,F,21,TERMINUS LOCATION,0908319,FREE_FORM
,,,,F,22,BH COUNTY: 003,0908319,FREE_FORM
,,,,F,23,SECTION: 21      BLOCK: 10        ABSTRACT:,0908319,FREE_FORM
,,,,F,24,SURVEY NAME:     UNIVERSITY LANDS/U305,0908319,FREE_FORM
,,,,F,25,LEASE LINES:     000040.00 FN            L,0908319,FREE_FORM
,,,,F,26,000330.00 FW            L,0908319,FREE_FORM
,,,,F,27,SURVEY LINES:    000040.00 FN            L,0908319,FREE_FORM
,,,,F,28,000330.00 FW            L,0908319,FREE_FORM
,02,,01,,,,0908320,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908320,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908320,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908320,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908320,FREE_FORM
,,,,F,05,LATERAL # TH1,0908320,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908320,FREE_FORM
,,,,F,07,LEASE LINES:     000455.00 FN            L,0908320,FREE_FORM
,,,,F,08,001460.00 FE            L,0908320,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908320,FREE_FORM
,,,,F,10,BH COUNTY: 003,0908320,FREE_FORM
,,,,F,11,SECTION: 37      BLOCK: 4         ABSTRACT:,0908320,FREE_FORM
,,,,F,12,SURVEY NAME:     UL / A-U99,0908320,FREE_FORM
,,,,F,13,LEASE LINES:     000100.00 FN            L,0908320,FREE_FORM
,,,,F,14,000330.00 FW            L,0908320,FREE_FORM
,,,,F,15,SURVEY LINES:    000100.00 FN            L,0908320,FREE_FORM
,,,,F,16,002310.00 FE            L,0908320,FREE_FORM
,02,,01,,,,0908321,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908321,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908321,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908321,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908321,FREE_FORM
,,,,F,05,LATERAL # TH1,0908321,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908321,FREE_FORM
,,,,F,07,LEASE LINES:     000455.00 FN            L,0908321,FREE_FORM
,,,,F,08,001435.00 FE            L,0908321,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908321,FREE_FORM
,,,,F,10,BH COUNTY: 003,0908321,FREE_FORM
,,,,F,11,SECTION: 37      BLOCK: 4         ABSTRACT:,0908321,FREE_FORM
,,,,F,12,SURVEY NAME:     UL / A-U99,0908321,FREE_FORM
,,,,F,13,LEASE LINES:     000100.00 FN            L,0908321,FREE_FORM
,,,,F,14,000990.00 FW            L,0908321,FREE_FORM
,,,,F,15,SURVEY LINES:    000100.00 FN            L,0908321,FREE_FORM
,,,,F,16,001650.00 FE            L,0908321,FREE_FORM
,02,,01,,,,0908322,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908322,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908322,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908322,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908322,FREE_FORM
,,,,F,05,LATERAL # TH1,0908322,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908322,FREE_FORM
,,,,F,07,LEASE LINES:     000455.00 FN            L,0908322,FREE_FORM
,,,,F,08,001410.00 FE            L,0908322,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908322,FREE_FORM
,,,,F,10,BH COUNTY: 003,0908322,FREE_FORM
,,,,F,11,SECTION: 37      BLOCK: 4         ABSTRACT:,0908322,FREE_FORM
,,,,F,12,SURVEY NAME:     UL / A-U99,0908322,FREE_FORM
,,,,F,13,LEASE LINES:     000100.00 FN            L,0908322,FREE_FORM
,,,,F,14,000990.00 FE            L,0908322,FREE_FORM
,,,,F,15,SURVEY LINES:    000100.00 FN            L,0908322,FREE_FORM
,,,,F,16,000990.00 FE            L,0908322,FREE_FORM
,02,,01,,,,0908323,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908323,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908323,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908323,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908323,FREE_FORM
,,,,F,05,LATERAL # TH1,0908323,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908323,FREE_FORM
,,,,F,07,LEASE LINES:     000455.00 FN            L,0908323,FREE_FORM
,,,,F,08,001385.00 FE            L,0908323,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908323,FREE_FORM
,,,,F,10,BH COUNTY: 003,0908323,FREE_FORM
,,,,F,11,SECTION: 37      BLOCK: 4         ABSTRACT:,0908323,FREE_FORM
,,,,F,12,SURVEY NAME:     UL / A-U99,0908323,FREE_FORM
,,,,F,13,LEASE LINES:     000100.00 FN            L,0908323,FREE_FORM
,,,,F,14,000330.00 FE            L,0908323,FREE_FORM
,,,,F,15,SURVEY LINES:    000100.00 FN            L,0908323,FREE_FORM
,,,,F,16,000330.00 FE            L,0908323,FREE_FORM
,02,,01,,,,0908410,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908410,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908410,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908410,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908410,FREE_FORM
,,,,F,05,LATERAL # TH1,0908410,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908410,FREE_FORM
,,,,F,07,LEASE LINES:     000304.00 FN            L,0908410,FREE_FORM
,,,,F,08,001423.00 FW            L,0908410,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908410,FREE_FORM
,,,,F,10,BH COUNTY: 005,0908410,FREE_FORM
,,,,F,11,SECTION:         BLOCK:           ABSTRACT: 647,0908410,FREE_FORM
,,,,F,12,"SURVEY NAME:     WALKER, J",0908410,FREE_FORM
,,,,F,13,LEASE LINES:     000115.00 FS            L,0908410,FREE_FORM
,,,,F,14,004055.00 FW            L,0908410,FREE_FORM
,,,,F,15,SURVEY LINES:    000233.00 FSE           L,0908410,FREE_FORM
,,,,F,16,004055.00 FW            L,0908410,FREE_FORM
,02,,01,,,,0908482,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908482,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908482,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908482,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908482,FREE_FORM
,02,,01,,,,0908483,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908483,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908483,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908483,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908483,FREE_FORM
,02,,01,,,,0908846,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908846,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908846,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908846,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908846,FREE_FORM
,02,,01,,,,0908632,CANNED
,03,,02,,,,0908632,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908632,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908632,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908632,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908632,FREE_FORM
,,,,F,05,LATERAL # TH1,0908632,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908632,FREE_FORM
,,,,F,07,LEASE LINES:     000213.00 FNE           L,0908632,FREE_FORM
,,,,F,08,002308.00 FSW           L,0908632,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908632,FREE_FORM
,,,,F,10,BH COUNTY: 311,0908632,FREE_FORM
,,,,F,11,SECTION: 1809    BLOCK:           ABSTRACT: 1012,0908632,FREE_FORM
,,,,F,12,SURVEY NAME:     BS&F,0908632,FREE_FORM
,,,,F,13,LEASE LINES:     000110.00 FS            L,0908632,FREE_FORM
,,,,F,14,001128.00 FW            L,0908632,FREE_FORM
,,,,F,15,SURVEY LINES:    000114.00 FS            L,0908632,FREE_FORM
,,,,F,16,001131.00 FW            L,0908632,FREE_FORM
,02,,01,,,,0908633,CANNED
,03,,02,,,,0908633,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908633,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908633,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908633,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908633,FREE_FORM
,,,,F,05,LATERAL # TH1,0908633,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908633,FREE_FORM
,,,,F,07,LEASE LINES:     000209.00 FNE           L,0908633,FREE_FORM
,,,,F,08,002922.00 FSW           L,0908633,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908633,FREE_FORM
,,,,F,10,BH COUNTY: 311,0908633,FREE_FORM
,,,,F,11,SECTION: 17      BLOCK:           ABSTRACT: 473,0908633,FREE_FORM
,,,,F,12,SURVEY NAME:     T&NO RR CO,0908633,FREE_FORM
,,,,F,13,LEASE LINES:     000333.00 FS            L,0908633,FREE_FORM
,,,,F,14,002730.00 FE            L,0908633,FREE_FORM
,,,,F,15,SURVEY LINES:    000101.00 FN            L,0908633,FREE_FORM
,,,,F,16,002032.00 FE            L,0908633,FREE_FORM
,02,,01,,,,0908639,CANNED
,03,,02,,,,0908639,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908639,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908639,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908639,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908639,FREE_FORM
,,,,F,05,LATERAL # TH1,0908639,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908639,FREE_FORM
,,,,F,07,LEASE LINES:     000212.00 FNE           L,0908639,FREE_FORM
,,,,F,08,003537.00 FSW           L,0908639,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908639,FREE_FORM
,,,,F,10,BH COUNTY: 311,0908639,FREE_FORM
,,,,F,11,SECTION: 17      BLOCK:           ABSTRACT: 473,0908639,FREE_FORM
,,,,F,12,SURVEY NAME:     T&NO RR CO,0908639,FREE_FORM
,,,,F,13,LEASE LINES:     000347.00 FS            L,0908639,FREE_FORM
,,,,F,14,002034.00 FE            L,0908639,FREE_FORM
,,,,F,15,SURVEY LINES:    000098.00 FN            L,0908639,FREE_FORM
,,,,F,16,001337.00 FE            L,0908639,FREE_FORM
,02,,01,,,,0908641,CANNED
,03,,02,,,,0908641,CANNED
,,,,P,01,THIS WELL MUST COMPLY TO THE NEW SWR 3.13 REQUIREMENTS CONCERNING THE,0908641,FREE_FORM
,,,,P,02,ISOLATION OF ANY POTENTIAL FLOW ZONES AND ZONES WITH CORROSIVE FORMATI,0908641,FREE_FORM
,,,,P,03,ON FLUIDS.  SEE APPROVED PERMIT FOR THOSE FORMATIONS THAT HAVE BEEN ID,0908641,FREE_FORM
,,,,P,04,ENTIFIED FOR THE COUNTY IN WHICH YOU ARE DRILLING THE WELL IN.,0908641,FREE_FORM
,,,,F,05,LATERAL # TH1,0908641,FREE_FORM
,,,,F,06,PENETRATION POINT LOCATION,0908641,FREE_FORM
,,,,F,07,LEASE LINES:     000203.00 FNE           L,0908641,FREE_FORM
,,,,F,08,004150.00 FSW           L,0908641,FREE_FORM
,,,,F,09,TERMINUS LOCATION,0908641,FREE_FORM
,,,,F,10,BH COUNTY: 311,0908641,FREE_FORM
,,,,F,11,SECTION: 17      BLOCK:           ABSTRACT: 473,0908641,FREE_FORM
,,,,F,12,SURVEY NAME:     T&NO RR CO,0908641,FREE_FORM
,,,,F,13,LEASE LINES:     000254.00 FS            L,0908641,FREE_FORM
,,,,F,14,001250.00 FE            L,0908641,FREE_FORM
